word_id,xhosa,infinitive,is_plural
1,uncedo,,false
3,bona,ukubona,false
4,i-orenji,,false
5,bonisa,ukubonisa,false
6,ii-orenji,,true
7,xelela,ukuxelela,false
8,thenga,ukuthenga,false
9,tya,ukutya,false
10,usana,,false
11,iintsana,,true
12,utata,,false
13,ootata,,true
14,fana,ukufana,false
15,cula,ukucula,false
16,qala,ukuqala,false
17,thuthuzela,ukuthuthuzela,false
19,iimoto,,true
20,imoto,,false
21,bukela,ukubukela,false
22,onakala,ukonakala,false
23,ubawo,,false
24,khawuleza,ukukhawuleza,false
25,xhomekeka,ukuxhomekeka,false
26,yala,ukuyala,false
27,umabonakude,,false
28,inxila,,false
29,phumelela,ukuphumelela,false
30,shumayela,ukushumayela,false
31,umfo,,false
32,malunga,,false
33,isithandwa,,false
34,ngathi,,false
35,ikhwele,,false
36,ubukhwele,,false
37,khwela,ukukhwela,false
38,ibala,,false
39,ibali,,false
40,amabali,,true
41,amabala,,true
42,umbala,,false
43,imibala,,true
44,bala,ukubala,false
45,bhala,ukubhala,false
46,umandlalo,,false
47,ibhedi,,false
48,phindeza,ukuphindeza,false
49,phawula,ukuphawula,false
50,isimilo,,false
51,isityalo,,false
52,isitiya,,false
53,lawula,ukulawula,false
54,isonka,,false
55,iqanda,,false
56,zola,ukuzola,false
57,inkcukacha,,false
58,ingxowa,,false
59,khaba,ukukhaba,false
60,diliza,ukudiliza,false
61,izihombiso,,true
62,incwadi,,false
63,dlala,ukudlala,false
64,funda,ukufunda,false
65,inkitha ya-,,false
66,bhafisa,ukubhafisa,false
67,zama,ukuzama,false
68,into,,false
69,izinto,,true
70,njalo,,false
71,intatheli,,false
72,umnqwazi,,false
73,krazuka,ukukrazuka,false
74,phucula,ukuphucula,false
75,umthunzi,,false
76,idabi,,false
77,umzekelo,,false
78,imizekelo,,true
79,isicatshulwa,,false
80,indebe,,false
81,thuka,ukuthuka,false
82,othuka,ukothuka,false
83,cothisa,ukucothisa,false
84,ngakumbi,,false
85,ngxama,ukungxama,false
86,thanda,ukuthanda,false
87,goduka,ukugoduka,false
88,pula,ukupula,false
89,thintana na-,ukuthintana na-,false
90,isiqhuphe,,false
91,hleka,ukuhleka,false
92,ingoma,,false
93,ala,ukwala,false
94,thi,ukuthi,false
95,umthi,,false
96,imithi,,true
97,njalo,,false
98,ilanga,,false
99,umthombo,,false
100,nzima,,false
101,nzima,,false
102,ikhulu,,false
103,ikati,,false
104,iikati,,true
105,pha,ukupha,false
106,fika,ukufika,false
107,isipho,,false
108,xhokonxa,ukuxhokonxa,false
109,izipho,,true
110,phoxa,ukuphoxa,false
111,imbalela,,false
112,uboya,,false
113,tshayisana na-,ukutshayisana,false
114,bhiyoza,ukubhiyoza,false
115,xhaphaza,ukuxhaphaza,false
116,ingubo,,false
117,hluma,ukuhluma,false
118,phathela,ukuphathela,false
119,tsha,ukutsha,false
120,vala,ukuvala,false
121,qhuba,ukuqhuba,false
122,ixabiso,,false
123,sika,ukusika,false
124,danisa,ukudanisa,false
125,danisa,ukudanisa,false
126,fa,ukufa,false
127,enza,ukwenza,false
128,sela,ukusela,false
129,gqiba,ukugqiba,false
130,libala,ukulibala,false
131,ya,ukuya,false
132,vuma,ukuvuma,false
133,phendula,ukuphendula,false
134,kholelwa,ukukholelwa,false
135,biza,ukubiza,false
136,khetha,ukukhetha,false
137,umhla,,false
138,tshintsha,ukutshintsha,false
139,coca,ukucoca,false
140,vula,ukuvula,false
141,thelekisa,ukuthelekisa,false
142,lila,ukulila,false
143,pheka,ukupheka,false
144,amaxabiso,,true
145,imihla,,true
146,nika,ukunika,false
147,yeka,ukuyeka,false
148,xolela,ukuxolela,false
149,khumbula,ukukhumbula,false
150,lungisa,ukulungisa,false
151,fumana,ukufumana,false
152,gcwala,ukugcwala,false
153,lwa,ukulwa,false
154,cacisa,ukucacisa,false
155,xabisa,ukuxabisa,false
156,cheba,ukucheba,false
157,dana,ukudana,false
158,chaza,ukuchaza,false
159,tshabalalisa,ukutshabalalisa,false
160,enza,ukwenza,false
161,sweleka,ukusweleka,false
162,phunga,ukuphunga,false
163,wa,ukuwa,false
164,tshisa,ukutshisa,false
165,umdla,,false
166,ugonyo,,false
167,netha,ukunetha,false
168,isandla,,false
169,lala,ukulala,false
170,inja,,false
171,cebisa,ukucebisa,false
172,krelekrele,,false
173,izinja,,true
174,buza,ukubuza,false
175,qhubekeka,ukuqhubekeka,false
176,imvula,,false
177,khalaza,ukukhalaza,false
178,nceda,ukunceda,false
179,thandaza,ukuthandaza,false
180,uthando,,false
181,khonkotha,ukukhonkotha,false
182,yalela,ukuyalela,false
183,umhla wokuzalwa,,false
184,intlango,,false
185,thandabuza,ukuthandabuza,false
186,gonya,ukugonya,false
187,halala,,false
188,tofotofo,,false
189,utywala,,false
190,khumbuza,ukukhumbuza,false
191,phatha,ukuphatha,false
